Comp Group,Department,Roles/ Titles,Level,Step,Annual Salary USD,Comp Band Start Date,Comp Band End Date
Core Consulting,Partners,"Partner,""
Partner, User Experience"",""Partner & Head of Strategy Team""",Partner/SVP,Step 2,275000,7/1/25,
Core Consulting,Partners,"Partner,""
Partner, User Experience"",""Partner & Head of Strategy Team""",Partner/SVP,Step 3,300000,7/1/25,
Core Consulting,Partners,Senior Partner,Executive,Step 1,350000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate,Step 1,70000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate,Step 2,75000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff,Step 1,80000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff,Step 2,90000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior,Step 1,105000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior,Step 2,120000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director,Step 1,145000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director,Step 2,160000,7/1/25,
Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director,Step 3,175000,7/1/25,
